DNK,Limfjord,Red2,56.89985,9.05663333,4,4,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",
DNK,Limfjord,Yellow8,56.90131667,9.05733333,3.5,3.5,Limfjord,LTER site,LHI (Low human influence),13.4 - Coastal Brackish/Saline Lagoons/Marine Lakes  ,"We are investigating the possibility of improving water quality and biodiversity by reintroducing stone reefs into Limfjorden. In spring of 2017 three elongated reefs were established just west of the Island Livø in the central part of Limfjorden. We are monitoring the effects on water movements, temperature and oxygen conditions as well as water clarity and nutrient levels. Also we have been monitoring the settlement of benthic organisms and will in early june 2019 conduct a thorough benthic biodiversity assessment of the reef. Our intention is to compare the ARMS based biodiversity with the more traditional monitoring.  ",
ESP,Getxo,G1,43.338452,-3.014833,5,10,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",
ESP,Getxo,G2,43.3385,-3.01491,5,10,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",
ESP,Getxo,G3,43.33843,-3.01483,5,10,Getxo,Marina,semi-industrial,15.11 - Marine Anthropogenic Structures  ,"Marina (Site located on the dock of a marina in transitional waters, 31-34 psu, in right bank within the outer section of the estuary of Bilbao, with the commercial superport of Bilbao in the left banks)  ",
ESP,Vigo,TorallaA,42.2284,-8.7787,12,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",
ESP,Vigo,TorallaB,42.2284,-8.7787,12,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",
ESP,Vigo,TorallaC,42.2284,-8.7787,12,12,Toralla,Industrial port,industrial,9.4 - Subtidal Sandy  ,"Toralla is a Island located at NW Iberia, inside of Ría de Vigo, a a semi-enclosed heavily populated bay. Besides the proximity of busy ports and the combined effect of population and urban activities which lead to sediment modification, this area includes both hard and soft substrata, which have a high primary productivity due to the influence of coastal upwelling-downwelling dynamics.  ",
FIN,TZS,Angbat,59.841505,23.248879,4,4,none,MPA; LTER site; continuous hydrographic monitoring,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,Angbatsbryggan is a vegetated habitat comprised of mixed macrophyte scpecies (mixed meadow) on sand bottom.,
FIN,TZS,Kummelkobben,59.86442,23.265084,3,6,none,LTER site; close to industrial port; continuous hydrographic monitoring,LHI (Low human influence),,,
FIN,TZS,Spikarna,59.81094,23.206216,3,3,none,MPA; LTER site,LHI (Low human influence),9.4 - Subtidal Sandy  ,"Spikarna is a group of small islands and sublittoral reefs with a fragmented distribution of mussel beds interspersed by pockets of sand fields, stones and gravel. A canopy-forming bladder-wrack belt on a hard-bottom habitat.",
FRA,Roscoff,BasBloS1,48.72872,-3.95894,12,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,
FRA,Roscoff,BasBloS2,48.72872,-3.95894,12,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,
FRA,Roscoff,BasBloS3,48.72872,-3.95894,12,12,BasBloS,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,Marine protected area,
FRA,Roscoff,MarBloR1,48.71751,-3.96649,1,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,
FRA,Roscoff,MarBloR2,48.71751,-3.96649,1,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,
FRA,Roscoff,MarBloR3,48.71751,-3.96649,1,1,MarBloR,Marina,semi-industrial,9.2 - Subtidal Rock and Rocky Reefs,Marina,
GBR,Plymouth,MBA1,50.3674,-4.1552,1,1,MBA ,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",
GBR,Plymouth,MBA1A,50.3673,-4.1554,2,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",
GBR,Plymouth,MBA1B,50.3668,-4.1561,2,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",
GBR,Plymouth,MBA1C,50.3674,-4.1544,2,2,MBA1,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",
GBR,Plymouth,MBA2,50.350134,-4.159167,10.1,10.1,MBA,Marina,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"King Point Marina, ARMS was suspended below pontoon  ",
GBR,Rothera,Cheshire1,-67.5738333,-68.1252333,20,20,none,LTER site,LHI (Low human influence),,,
GBR,Rothera,SouthCove1,-67.575,-68.1346667,21,21,none,LTER site,LHI (Low human influence),,, 
GRC,Crete,1HERP,35.343153,25.136605,4,4,none,Marina/Harbour,semi-industrial,9.6 - Subtidal Muddy  ,Soft (muddy) seabed in the Old Venetian Harbour (marina) of Heraklion.  ,
GRC,Crete,2UBPC,35.34662,25.27876,21,21,none,UBP,semi-industrial,9.4 - Subtidal Sandy  ,Sandy seabed in the Underwater Biotechnological Park of Crete (http://ubpcrete.hcmr.gr/) in the open sea (1.5 km off the HCMR facilities).  ,
GRL,Daneborg,Daneborg1,74.3300,-20.3400,15,15,Danborg,LTER site,LHI (Low human influence),,,
GRL,Daneborg,Daneborg2,74.3304,-20.3404,15,15,Danborg,LTER site,LHI (Low human influence),,,
GRL,Daneborg,Daneborg3,74.3308,-20.3408,15,15,Danborg,LTER site,LHI (Low human influence),,,
GRL,Nuuk,Nuuk1,64.1405,-51.3906,15,15,Nuuk,LTER site,LHI (Low human influence),,,
GRL,Nuuk,Nuuk2,64.1404,-51.3904,15,15,Nuuk,LTER site,LHI (Low human influence),,,
GRL,Nuuk,Nuuk3,64.1408,-51.3908,15,15,Nuuk,LTER site,LHI (Low human influence),,,
IRL,Galway,Gurr1,53.315693,-9.670278,6.6,6.6,Gurr,SAC,protected,,,true replicates in space and time as all were sampled with 48 hours of each other on every deployment
IRL,Galway,Gurr2,53.315675,-9.668541,6.2,6.2,Gurr,SAC,protected,,,true replicates in space and time as all were sampled with 48 hours of each other on every deployment
IRL,Galway,Gurr3,53.315443,-9.671564,7.2,7.2,Gurr,SAC,protected,,,true replicates in space and time as all were sampled with 48 hours of each other on every deployment
ISR,Eilat,Katza1,29.520000,34.934444,10,10,none,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates
ISR,Eilat,Katza2,29.520000,34.934444,10,10,none,Industrial port,industrial,9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates
ISR,Eilat,NR1,29.50555,34.920278,10,10,none,LTER site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates
ISR,Eilat,NR2,29.50555,34.920278,10,10,none,LTER site,LHI (Low human influence),9.8 - Coral Reef  ,"Fringing reef, sand areas with coral knolls, and segmented reef patches.  ",These sites are at the same place so they are field replicates although the retrieval times are all different so they are also not replicates
ITA,AdriaticEastCoast,Ven1,45.316667,12.50000,16,16,Ven,LTER site,LHI (Low human influence),,,
ITA,AdriaticEastCoast,Ven2,45.316667,12.5000,16,16,Ven,LTER site,LHI (Low human influence),,,
ITA,AdriaticEastCoast,Ven3,45.316667,12.5000,16,16,Ven,LTER site,LHI (Low human influence),,,
ITA,RavHarbour,RavH1,44.421488,12.209497,1.5,1.5,RavH,Harbour,industrial,,,
ITA,RavHarbour,RavH2,44.421488,12.209497,1.5,1.5,RavH,Harbour,industrial,,,
ITA,RavHarbour,RavH3,44.421488,12.209497,no measurements,no measurements,RavH,Harbour,industrial,,,
ITA,RavMarina,RavM1,44.492426,12.287623,1.5,1.5,RavM,Marina,semi-industrial,,,
ITA,RavMarina,RavM2,44.492426,12.287623,1.5,1.5,RavM,Marina,semi-industrial,,,
ITA,RavMarina,RavM3,44.492426,12.287623,1.5,1.5,RavM,Marina,semi-industrial,,,
NOR,Bodo,GStraB,67.24035,14.711733,2,2,GStra,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs,"The ARMS is deployed in a shallow inlet (2-3 m) with mixed sediments, boulders and rocky bottom called Godøystraumen. Kelp and maerl are the main habitat forming species in the vicinity. The site is located in and MPA established in 2014. GStraB is situated on boulders in the vicinity of narrowing with strong tidal currents. Both ARMS (GStraM and GStraB) are situated within a radius of 50 m.  ",
NOR,Bodo,GStraM,67.240217,14.711533,2,2,GStra,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"The ARMS are deployed in a shallow inlet (2-3 m) with mixed sediments, boulders and rocky bottom called Godøystraumen. Kelp and maerl are the main habitat forming species in the vicinity. The site is located in and MPA established in 2014. The site GStraM is situated on sandy bottom with maerl nodules loosely occurring in the vicinity. Both ARMS (GStraM and GStraB are situated within a radius of 50 m.  ",
NOR,Svalbard,S1,78.21302778,15.23361111,14,14,S,LTER site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,"The two arms sites are located in Isfjorden (Spitsbergen), on the southern shore, close to old inactive russian coal mining village Grumantbyen (S2) and river outlet Bjorndalen (S1). Both locations are distant from Longyearbyen harbour and located just beneath large bird cliffs. Characterized by steep slope of rocks and boulders overlying mud. Lager boulders occur at S1 while at S2 there are rocky shelves withs smaller rocks coming down steeply down to e.g. 15 m depth. Kelp forest are present up to 10 m depth. ARMS were located on 14 m depth. Epifauna consisting mostly of barnacles, sedentary polychaetes, sea urchins, and sea stars is abundant and species rich.",
NOR,Svalbard,S1A,78.21302778,15.23361111,14,14,S1,LTER site,LHI (Low human influence),,,
NOR,Svalbard,S1B,78.21302778,15.23361111,14,14,S1,LTER site,LHI (Low human influence),,,
NOR,Svalbard,S1C,78.21302778,15.23361111,14,14,S1,LTER site,LHI (Low human influence),,,
NOR,Svalbard,S2,78.18833333,15.14472222,14,14,S,LTER site,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,"The two arms sites are located in Isfjorden (Spitsbergen), on the southern shore, close to old inactive russian coal mining village Grumantbyen (S2) and river outlet Bjorndalen (S1). Both locations are distant from Longyearbyen harbour and located just beneath large bird cliffs. Characterized by steep slope of rocks and boulders overlying mud. Lager boulders occur at S1 while at S2 there are rocky shelves withs smaller rocks coming down steeply down to e.g. 15 m depth. Kelp forest are present up to 10 m depth. ARMS were located on 14 m depth. Epifauna consisting mostly of barnacles, sedentary polychaetes, sea urchins, and sea stars is abundant and species rich.",
POL,Gdynia,GDY1,54.48522,18.57111,4,4,none,LTER site; MPA,LHI (Low human influence),9.3 - Subtidal Loose Rock/Pebble/Gravel  ,Natural stony reefs in the littoral zone (pebbles and boulders on sandy bottom)  ,
SVN,GulfOfPiran,BojaVida,45.54875,13.5507,22,22,none,LTER site,LHI (Low human influence),,, 
SVN,GulfOfPiran,Fornace,45.5188,13.5673,9,9,none,Research site,semi-industrial,9.5 - Subtidal Sandy-Mud  ,"Location 1 (FO9) is stationed around 50 m off the coast of Fornace (PIran) in the depth of 9 m. This is a transient zone between infralittoral and circalittoral. Botoom is predominantly sandy mud, with coarse organic elements on the surface (sea shells). ", 
SVN,GulfOfPiran,LukaKP,45.564856,13.743586,3,3,none,not provided,industrial,,, 
SWE,Koster,VH1,58.875155,11.103194,24,24,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",
SWE,Koster,VH2,58.87633,11.111884,22,22,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",
SWE,Koster,VH3,58.859877,11.080491,25,25,VH,MPA,protected,9.2 - Subtidal Rock and Rocky Reefs  ,"ARMS are deployed at the outlet of the small bay of Tjärnö Marine Lab at the lower end of the photic zone and close to the drop off into the Koster groove (100 m depth). The habitat is soft sediment mixed with rocky seafloor, covered with dead man’s fingers and brown algae (Fucus).  ",
SWE,SWC,Bjorko1,57.717984,11.679989,1.5,1.5,none,Marina,semi-industrial,,,
SWE,SWC,Gbg1,57.664805,11.714735,5,5,none,Industrial port,industrial,,,
SWE,SWC,Gbg2,57.664608,11.732876,5,5,none,Industrial port,industrial,,,
SWE,SWC,Gbg3,57.680533,11.740578,5,5,none,Industrial port,industrial,,,
SWE,SWC,Gbg4,57.680805,11.728331,5,5,none,Industrial port,industrial,,,
SWE,SWC,Helsingborg1,56.026272,12.695728,2,2,Helsingborg,Industrial port,industrial,,,
SWE,SWC,Helsingborg2,56.018061,12.700541,2,2,Helsingborg,Industrial port,industrial,,,
SWE,SWC,Hjuvik1,57.703221,11.711363,2,2,none,Marina,semi-industrial,,,
SWE,SWC,Marstrand1,57.914434,11.594154,4,6,Marstrand,Marina,semi-industrial,,,
SWE,SWC,Marstrand2,57.903512,11.581548,4,6,Marstrand,Marina,semi-industrial,,,
SWE,SWC,Marstrand3,57.889278,11.585722,1,2,Marstrand,Marina,semi-industrial,,,
SWE,SWC,Preemraff1,58.3533,11.43486,3,3,Preemraff,Industrial port,industrial,,,
SWE,SWC,Preemraff2,58.35405,11.43394,3,3,Preemraff,Industrial port,industrial,,,
SWE,SWC,Varberg1,57.1133741,12.2299832,2,2,Varberg,Industrial port,industrial,,,
SWE,SWC,Varberg2,57.1126278,12.2302732,2,2,Varberg,Industrial port,industrial,,,
SWE,SWC,Varberg3,57.1107004,12.2439775,2,2,Varberg,Industrial port,industrial,,,
